"","Country/Territory","Mean","SD"
"V1","Aruba",1.17681182714286,0.195109739710647
"V2","Andorra",1.56613986647059,0.166853451228895
"V3","Afghanistan",-1.39103184017647,0.272087397953489
"V4","Angola",-1.15200492182353,0.139171662950227
"V5","Anguilla",1.35603586657143,0.264700526228347
"V6","Albania",-0.324532658705882,0.237641334047909
"V7","Netherlands Antilles (former)",0.825817913,0.158173590668162
"V8","United Arab Emirates",1.02259277594118,0.281364040750618
"V9","Argentina",-0.100244106823529,0.140585180459099
"V10","Armenia",-0.160014697882353,0.132837423594418
"V11","American Samoa",0.417735124357143,0.179501511689072
"V12","Antigua and Barbuda",0.419908077823529,0.203401902286571
"V13","Australia",1.71555484670588,0.121062851171667
"V14","Austria",1.71857821223529,0.174334644509451
"V15","Azerbaijan",-0.636444983176471,0.25817540326804
"V16","Burundi",-1.22800647547059,0.134718632257491
"V17","Belgium",1.60710801788235,0.217091740868152
"V18","Benin",-0.500140332058824,0.125636073586879
"V19","Burkina Faso",-0.600550904058823,0.0745673397332623
"V20","Bangladesh",-0.751617343588235,0.0724962041339095
"V21","Bulgaria",0.124819624352941,0.10466349826776
"V22","Bahrain",0.469773649941176,0.109538102017122
"V23","Bahamas, The",1.02438545176471,0.229857370084077
"V24","Bosnia and Herzegovina",-0.644197123882353,0.166206559312467
"V25","Belarus",-0.873308892882353,0.279655705324001
"V26","Belize",-0.361693568705882,0.243311098639805
"V27","Bermuda",1.08605230570588,0.124800204304593
"V28","Bolivia",-0.511937290352941,0.134780593627034
"V29","Brazil",-0.0943433688235294,0.132361702190131
"V30","Barbados",1.32190717282353,0.192536397101551
"V31","Brunei Darussalam",0.875938792705882,0.208488181219988
"V32","Bhutan",0.446950537764706,0.204202905868828
"V33","South Sudan",-2.02937601285714,0.333019877785075
"V34","Botswana",0.521316203882353,0.0952141629056133
"V35","Central African Republic",-1.53856428935294,0.17052195075465
"V36","Canada",1.83079259482353,0.0778098869440725
"V37","Switzerland",1.97853058229412,0.107503681478856
"V38","Chile",1.16544451088235,0.115114831931829
"V39","China",0.104972954411765,0.179290000855597
"V40","Côte d'Ivoire",-1.02154002458824,0.221316393594759
"V41","Cameroon",-0.828556284941177,0.07543326068119
