"","ISO","country","intended_size"
"1","DZA","Algeria",782
"2","AGO","Angola",10413
"3","ARG","Argentina",108013
"4","ARM","Armenia",405
"5","BGD","Bangladesh",391
"6","BLR","Belarus",653
"7","BLZ","Belize",1114
"8","BEN","Benin",1792
"9","BOL","Bolivia (Plurinational State of)",2228
"10","BWA","Botswana",335
"11","BRA","Brazil",52962
"12","BGR","Bulgaria",2765
"13","BFA","Burkina Faso",475
"15","KHM","Cambodia",91488
"16","CMR","Cameroon",6467
"17","CAF","Central African Republic",942
"18","CHL","Chile",7449
"19","CHN","China",10639
"20","COL","Colombia",32812
"21","COG","Congo",4113
"22","CRI","Costa Rica",2228
"23","CUB","Cuba",557
"25","ECU","Ecuador",3307
"26","EGY","Egypt",3436
"27","ETH","Ethiopia",33828
"28","GAB","Gabon",1970
"29","GMB","Gambia",432
"30","GEO","Georgia",480
"31","GHA","Ghana",14526
"32","GTM","Guatemala",4738
"33","GIN","Guinea",1864
"34","GNB","Guinea-Bissau",47
"35","GUY","Guyana",2723
"36","HND","Honduras",2785
"37","IND","India",24035
"38","IDN","Indonesia",80601
"39","IRQ","Iraq",220
"40","JAM","Jamaica",557
"41","KAZ","Kazakhstan",1038
"42","KEN","Kenya",11047
"43","LAO","Lao People's Democratic Republic",32522
"44","LBR","Liberia",12070
"45","LBY","Libya",335
"46","LTU","Lithuania",1671
"47","MDG","Madagascar",10749
"48","MWI","Malawi",4429
"49","MYS","Malaysia",9449
"50","MLI","Mali",6952
"51","MRT","Mauritania",1109
"52","MUS","Mauritius",662
"53","MEX","Mexico",4051
"54","MNG","Mongolia",635
"55","MAR","Morocco",1636
"56","MOZ","Mozambique",39832
"57","MMR","Myanmar",18568
"58","NAM","Namibia",4707
"59","NIC","Nicaragua",12254
"60","NER","Niger",1007
"61","NGA","Nigeria",15934
"62","PAK","Pakistan",3060
"63","PAN","Panama",1114
"64","PNG","Papua New Guinea",26143
"65","PRY","Paraguay",18517
"66","PER","Peru",32099
"67","PHL","Philippines",16054
"68","ROU","Romania",47428
"69","RUS","Russian Federation",22118
"70","RWA","Rwanda",440
"71","STP","Sao Tome and Principe",391
"72","SEN","Senegal",7628
"73","SRB","Serbia",2288
"74","SLE","Sierra Leone",8349
"75","SLB","Solomon Islands",557
"76","ZAF","South Africa",3783
"77","SSD","South Sudan",4914
"78","LKA","Sri Lanka",1884
"79","SDN","Sudan",11274
"80","SUR","Suriname",557
"82","TJK","Tajikistan",1157
"83","THA","Thailand",1566
"85","TLS","Timor-Leste",786
"86","TUN","Tunisia",432
"87","TUR","Turkey",526
"88","UGA","Uganda",7703
"89","UKR","Ukraine",80404
"91","URY","Uruguay",34534
"92","VEN","Venezuela (Bolivarian Republic of)",557
"93","VNM","Viet Nam",49011
"94","ZMB","Zambia",13296
"95","ZWE","Zimbabwe",3437
"14","CIV","Cote d'Ivoire",2323
"24","COD","Democratic Republic of the Congo",14801
"81","SWE","Swizerland",1504
"84","MKD","North Macedonia",765
"90","TZA","United Republic of Tanzania",16217
