"","Country","Investor","Host"
"1","Algeria",1,2
"2","Angola",3,12
"3","Argentina",166,228
"4","Australia",8,NA
"5","Austria",3,NA
"6","Bahrain",1,NA
"7","Bangladesh",1,NA
"8","Barbados",1,NA
"9","Belgium",18,NA
"10","Belize",3,3
"11","Bermuda",11,NA
"12","Bolivia (Plurinational State of)",1,4
"13","Brazil",72,144
"14","British Virgin Islands",14,NA
"15","Bulgaria",1,4
"16","C<U+221A><U+00A5>te d'Ivoire",4,9
"17","Cambodia",55,165
"18","Cameroon",5,17
"19","Canada",42,NA
"20","Cape Verde",1,NA
"21","Cayman Islands",3,NA
"22","Central African Republic",1,2
"23","Chile",23,13
"24","China",108,8
"25","China, Hong Kong Special Administrative Region",27,NA
"26","Colombia",34,63
"27","Congo",1,12
"28","Costa Rica",3,4
"29","Croatia",1,NA
"30","Cyprus",28,NA
"31","Czech Republic",3,NA
"32","Democratic People's Republic of Korea",1,NA
"33","Democratic Republic of the Congo",35,71
"34","Denmark",17,NA
"35","Djibouti",2,NA
"36","Ecuador",6,6
"37","Egypt",5,8
"38","Estonia",4,NA
"39","Ethiopia",39,107
"40","Finland",18,NA
"41","France",42,NA
"42","Gabon",2,7
"43","Germany",23,NA
"44","Ghana",10,48
"45","Gibraltar",1,NA
"46","Guatemala",9,12
"47","Guernsey",1,NA
"48","Guinea",1,4
"49","Honduras",4,5
"50","Hong Kong Special Administrative Region",4,NA
"51","Hungary",1,NA
"52","Iceland",1,NA
"53","India",79,33
"54","Indonesia",21,95
"55","Iran (Islamic Republic of)",1,NA
"56","Iraq",1,NA
"57","Ireland",4,NA
"58","Israel",10,NA
"59","Italy",27,NA
"60","Japan",28,NA
"61","Kenya",12,14
"62","Kuwait",1,NA
"63","Lao People's Democratic Republic",7,29
"64","Lebanon",8,NA
"65","Liberia",5,33
"66","Libya",4,NA
"67","Liechtenstein",6,NA
"68","Lithuania",1,1
"69","Luxembour",1,NA
"70","Luxembourg",45,NA
"71","Madagascar",4,15
"72","Malawi",4,11
"73","Malaysia",98,11
"74","Mali",6,13
"75","Mauritius",13,1
"76","Mexico",6,9
"77","Morocco",1,2
"78","Mozambique",23,115
"79","Myanmar",8,24
"80","NA",309,309
"81","Namibia",3,7
"82","Netherlands",55,NA
"83","New Zealand",2,NA
"84","Nicaragua",10,24
"85","Nigeria",25,42
"86","None",39,NA
"87","Norway",19,NA
"88","Pakistan",3,3
"89","Panama",3,4
"90","Papua New Guinea",3,41
"91","Paraguay",18,51
"92","Peru",48,67
"93","Philippines",7,14
"94","Portugal",15,NA
"95","Qatar",16,NA
"96","Republic of Korea",17,NA
"97","Romania",7,35
"98","Russian Federation",6,19
"99","Rwanda",5,9
"100","SUnited States of America",1,1
"101","Sao Tome and Principe",1,2
"102","Saudi Arabia",27,NA
"103","Senegal",6,26
"104","Sierra Leone",2,23
"105","Singapore",58,NA
"106","Singapore,",1,NA
"107","South Africa",36,9
"108","South Sudan",2,11
"109","Spain",16,NA
"110","Sri Lanka",3,NA
"111","Sudan",6,22
"112","Sweden",9,NA
"113","Switzerland",16,1
"114","Syrian Arab Republic",1,NA
"115","Tajikistan",1,2
"116","Thailand",15,1
"117","Turkey",8,NA
"118","Uganda",8,24
"119","Ukraine",11,114
"120","United Arab Emirate",1,NA
"121","United Arab Emirates",18,NA
"122","United Kingdom of Great Britain and Northern Ireland",105,NA
"123","United Republic of Tanzania",14,47
"124","United States of America",150,NA
"125","Uruguay",13,97
"126","Viet Nam",128,122
"127","Zambia",9,46
"128","Zimbabwe",14,13
"129","Belarus",NA,1
"130","Benin",NA,3
"131","Burkina Faso",NA,3
"132","Cuba",NA,1
"133","Guinea-Bissau",NA,1
"134","Guyana",NA,6
"135","Jamaica",NA,1
"136","Mauritania",NA,2
"137","Mongolia",NA,1
"138","Niger",NA,2
"139","Serbia",NA,5
"140","Solomon Islands",NA,1
"141","Suriname",NA,1
"142","Swaziland",NA,2
"143","The former Yugoslav Republic of Macedonia",NA,1
"144","Timor-Leste",NA,1
"145","Venezuela (Bolivarian Republic of)",NA,1
