sep=,
year,occurrence,"Total deaths",Injured,Affected,Homeless,"Total affected","Total damage  ('000 US$)"
2000,526,16667,14844,172454484,1766425,174235753,46706436
2001,447,39493,278897,105581811,3113696,108974404,27074439
2002,505,21342,52633,658853687,354875,659261195,52078152
2003,420,113558,207312,251983112,2900670,255091094,69839150
2004,398,244772,1884212,157420778,2577923,161882913,136378448
2005,488,93566,157350,154259158,6266457,160682965,214205351
2006,462,29893,168950,119931185,6203123,126303258,34104949
2007,450,22422,73127,211621445,1169731,212864303,74420257
2008,394,242236,396453,218202922,3242535,221841910,190849247
2009,389,16037,47978,201230991,510312,201789281,46776393
2010,435,329900,740761,256795896,2423997,259960654,132194096
2011,361,34143,50814,210776553,1964972,212792339,364095168
2012,372,11619,63919,122423039,951595,123438553,156701432
2013,355,22225,124425,99008491,328923,99461839,120632189
2014,342,20869,107296,139682799,1364787,141154882,98101314
2015,401,24322,194126,428887613,622992,429704731,83638399
2016,349,10706,166793,202658305,2456745,205281843,147277521
2017,366,11843,257285,95097173,603232,95957690,337542768.92
2018,293,11429,96709,59659975,414816,60171500,107771602
2019,11,128,262,3558991,,3559253,


"Created on: April 09, 2019"
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium"
