"","iso_diff","i","difference_land"
"1","AFG","Algeria",223
"2","ALA","Angola",426
"3","ALB","Argentina",269.123456790123
"4","DZA","Belize",91.5
"5","ASM","Bolivia (Plurinational State of)",387.5
"6","AND","Botswana",315
"7","AGO","Brazil",232.461538461538
"8","AIA","Bulgaria",282
"9","ATA","Burkina Faso",446
"10","ATG","Côte d'Ivoire",239.8
"11","ARG","Cambodia",599.772727272727
"12","ARM","Cameroon",516.4
"13","ABW","Central African Republic",411
"14","AUS","Chile",282.384615384615
"15","AUT","China",438.75
"16","AZE","Colombia",249.027027027027
"17","BHS","Congo",500.666666666667
"18","BHR","Costa Rica",364.25
"19","BGD","Congo, Democratic Republic of the",195.333333333333
"20","BRB","Ecuador",348
"21","BLR","Egypt",385.333333333333
"22","BEL","Ethiopia",326.384615384615
"23","BLZ","Gabon",55
"24","BEN","Ghana",339.869565217391
"25","BMU","Guatemala",398.6
"26","BTN","Guinea",715
"27","BOL","Guinea-Bissau",-106
"28","BES","Guyana",447
"29","BIH","Honduras",439.2
"30","BWA","India",167.153846153846
"31","BVT","Indonesia",354.142857142857
"32","BRA","Jamaica",155
"33","IOT","Kenya",344
"34","BRN","Lao People's Democratic Republic",107.548387096774
"35","BGR","Liberia",377
"36","BFA","Lithuania",482
"37","BDI","Madagascar",360.666666666667
"38","CPV","Malawi",72
"39","KHM","Malaysia",301.727272727273
"40","CMR","Mali",25
"41","CAN","Mauritius",433.5
"42","CYM","Mexico",401.8
"43","CAF","Mongolia",411
"44","TCD","Morocco",-164
"45","CHL","Mozambique",205.351351351351
"46","CHN","Myanmar",-39.625
"47","CXR","Namibia",398.6
"48","CCK","Nicaragua",304.647058823529
"49","COL","Nigeria",183.666666666667
"50","COM","Pakistan",65.6666666666666
"51","COG","Panama",266
"52","COD","Papua New Guinea",319.166666666667
"53","COK","Paraguay",271.588235294118
"54","CRI","Peru",281.75
"55","CIV","Philippines",439.5
"56","HRV","Romania",372.409090909091
"57","CUB","Russian Federation",415.736842105263
"58","CUW","Rwanda",-641
"59","CYP","Sao Tome and Principe",681
"60","CZE","Senegal",212.928571428571
"61","DNK","Serbia",1260
"62","DJI","Sierra Leone",174.090909090909
"63","DMA","Solomon Islands",509
"64","DOM","South Africa",221.6
"65","ECU","South Sudan",293.5
"66","EGY","Sudan",24.7
"67","SLV","Suriname",531
"68","GNQ","Uganda",408.4
"69","ERI","Ukraine",314.894736842105
"70","EST","Tanzania, United Republic of",332.2
"71","SWZ","Uruguay",262.862745098039
"72","ETH","Viet Nam",402.296296296296
"73","FLK","Zambia",238.8
"74","FRO","Zimbabwe",529
